Date,close,daily_return
2023-11-09,4347.35009765625,
2023-11-10,4415.240234375,0.015616441094852496
2023-11-13,4411.5498046875,-0.0008358389332403515
2023-11-14,4495.7001953125,0.019075017703661823
2023-11-15,4502.8798828125,0.0015970120755575135
2023-11-16,4508.240234375,0.0011904273935798848
2023-11-17,4514.02001953125,0.0012820490603360213
2023-11-20,4547.3798828125,0.007390278097329839
2023-11-21,4538.18994140625,-0.0020209310950652926
2023-11-22,4556.6201171875,0.00406112922094648
2023-11-24,4559.33984375,0.0005968736678840791
2023-11-27,4550.43017578125,-0.001954157460090089
2023-11-28,4554.89013671875,0.0009801185306033133
2023-11-29,4550.580078125,-0.0009462486392383118
2023-11-30,4567.7998046875,0.0037840728581564065
2023-12-01,4594.6298828125,0.005873742123607695
2023-12-04,4569.77978515625,-0.005408509126972105
2023-12-05,4567.18017578125,-0.0005688697261614362
2023-12-06,4549.33984375,-0.003906202808869552
2023-12-07,4585.58984375,0.007968189065892917
2023-12-08,4604.3701171875,0.00409549786994079
2023-12-11,4622.43994140625,0.003924494286698943
2023-12-12,4643.7001953125,0.00459935752021523
2023-12-13,4707.08984375,0.013650676351045998
2023-12-14,4719.5498046875,0.0026470624846992585
2023-12-15,4719.18994140625,-7.62494933082003e-05
2023-12-18,4740.56005859375,0.004528344366900416
2023-12-19,4768.3701171875,0.005866407818910568
2023-12-20,4698.35009765625,-0.014684266911006771
2023-12-21,4746.75,0.010301467821202559
2023-12-22,4754.6298828125,0.0016600585268868873
2023-12-26,4774.75,0.0042316894655107795
2023-12-27,4781.580078125,0.0014304577464787638
2023-12-28,4783.35009765625,0.0003701746080437829
2023-12-29,4769.830078125,-0.0028264750133749628
2024-01-02,4742.830078125,-0.005660579005492328
2024-01-03,4704.81005859375,-0.008016314922730805
2024-01-04,4688.68017578125,-0.0034283812973570083
2024-01-05,4697.240234375,0.0018256861788026324
2024-01-08,4763.5400390625,0.014114629309846638
2024-01-09,4756.5,-0.0014779006799081618
2024-01-10,4783.4501953125,0.00566597189372442
2024-01-11,4780.240234375,-0.0006710555783868699
2024-01-12,4783.830078125,0.0007509755941104146
2024-01-16,4765.97998046875,-0.0037313402367431525
2024-01-17,4739.2099609375,-0.005616897183990499
2024-01-18,4780.93994140625,0.008805260963896
2024-01-19,4839.81005859375,0.012313502764936146
2024-01-22,4850.43017578125,0.0021943252026270788
2024-01-23,4864.60009765625,0.002921374261968035
2024-01-24,4868.5498046875,0.0008119284117831249
2024-01-25,4894.16015625,0.005260365527706368
2024-01-26,4890.97021484375,-0.0006517852510764532
2024-01-29,4927.93017578125,0.007556774896180896
2024-01-30,4924.97021484375,-0.0006006499345398986
2024-01-31,4845.64990234375,-0.016105744611597972
2024-02-01,4906.18994140625,0.012493688211609788
2024-02-02,4958.60986328125,0.01068444607751462
2024-02-05,4942.81005859375,-0.0031863375266721894
2024-02-06,4954.22998046875,0.0023104108269635937
2024-02-07,4995.06005859375,0.008241457963390042
2024-02-08,4997.91015625,0.0005705832608251526
2024-02-09,5026.60986328125,0.0057423415255595245
2024-02-12,5021.83984375,-0.0009489536011326738
2024-02-13,4953.169921875,-0.013674255653625456
2024-02-14,5000.6201171875,0.009579763275017639
2024-02-15,5029.72998046875,0.005821250684729495
2024-02-16,5005.56982421875,-0.0048034698371121065
2024-02-20,4975.509765625,-0.006005322001165325
2024-02-21,4981.7998046875,0.001264199922982101
2024-02-22,5087.02978515625,0.02112288421741404
2024-02-23,5088.7998046875,0.0003479475462115911
2024-02-26,5069.52978515625,-0.003786751350190576
2024-02-27,5078.18017578125,0.0017063496993998672
2024-02-28,5069.759765625,-0.001658155060430544
2024-02-29,5096.27001953125,0.005229094697149161
2024-03-01,5137.080078125,0.00800782894888763
2024-03-04,5130.9501953125,-0.0011932620709189656
2024-03-05,5078.64990234375,-0.010193100883444606
2024-03-06,5104.759765625,0.005141103203274655
2024-03-07,5157.35986328125,0.010304127925951478
2024-03-08,5123.68994140625,-0.0065285190034379825
2024-03-11,5117.93994140625,-0.001122238087346461
2024-03-12,5175.27001953125,0.011201787981366396
2024-03-13,5165.31005859375,-0.0019245297153407392
2024-03-14,5150.47998046875,-0.0028710915621273925
2024-03-15,5117.08984375,-0.006482917484461503
2024-03-18,5149.419921875,0.006318059504952345
2024-03-19,5178.509765625,0.0056491496501236416
2024-03-20,5224.6201171875,0.008904173912846591
2024-03-21,5241.52978515625,0.0032365354015160275
2024-03-22,5234.18017578125,-0.0014021878490156903
2024-03-25,5218.18994140625,-0.0030549644525015296
2024-03-26,5203.580078125,-0.002799795225030266
2024-03-27,5248.490234375,0.008630626525532925
2024-03-28,5254.35009765625,0.0011164855071790214
2024-04-01,5243.77001953125,-0.0020135845401164643
2024-04-02,5205.81005859375,-0.0072390590731691296
2024-04-03,5211.490234375,0.001091122364688113
2024-04-04,5147.2099609375,-0.012334336350379616
2024-04-05,5204.33984375,0.011099194174331695
2024-04-08,5202.39013671875,-0.00037463099831791524
2024-04-09,5209.91015625,0.0014454931932483817
2024-04-10,5160.64013671875,-0.009456980649108493
2024-04-11,5199.06005859375,0.007444797710585593
2024-04-12,5123.41015625,-0.01455068829580164
2024-04-15,5061.81982421875,-0.01202135494776202
2024-04-16,5051.41015625,-0.0020565070133361507
2024-04-17,5022.2099609375,-0.005780602724641426
2024-04-18,5011.1201171875,-0.002208160119998248
2024-04-19,4967.22998046875,-0.00875854812743615
2024-04-22,5010.60009765625,0.008731248071466746
2024-04-23,5070.5498046875,0.011964576270872662
2024-04-24,5071.6298828125,0.0002130100613548791
2024-04-25,5048.419921875,-0.004576430353515626
2024-04-26,5099.9599609375,0.01020914263474304
2024-04-29,5116.169921875,0.0031784486665891176
2024-04-30,5035.68994140625,-0.01573051358686217
2024-05-01,5018.39013671875,-0.0034354388154940185
2024-05-02,5064.2001953125,0.009128437077573048
2024-05-03,5127.7900390625,0.012556739721478527
2024-05-06,5180.740234375,0.01032612390701182
2024-05-07,5187.7001953125,0.0013434298232750663
2024-05-08,5187.669921875,-5.835618166138978e-06
2024-05-09,5214.080078125,0.005090947698625836
2024-05-10,5222.68017578125,0.001649398844549843
2024-05-13,5221.419921875,-0.00024130405535727206
2024-05-14,5246.68017578125,0.004837813139759728
